	"ER+/LN+"	"ER+/LN+"	"ER+/LN+"	"ER-/LN+"	"ER-/LN+"	"ER-/LN+"	"ER-/LN+"	"ER+/LN+"	"ER+/LN+"	"ER+/LN+"	"ER+/LN-"	"ER+/LN-"	"ER-/LN-"	"ER-/LN-"	"ER-/LN-"	"ER-/LN-"	"ER+/LN-"	"ER+/LN-"	"ER+/LN-"	"ER+/LN-"	"ER+/LN+"	"ER+/LN+"	"ER-/LN-"	"ER-/LN-"	"ER +/LN+"	"ER-/LN+"	"ER-/LN-"	"ER-/LN-"	"ER-/LN+"	"ER-/LN+"	"ER+/LN-"	"ER+/LN+"	"ER+/LN+"	"ER+/LN+"	"ER+/LN+"	"ER+/LN-"	"ER+/LN-"	"ER+/LN-"	"ER+/LN-"	"ER+/LN-"	"ER-/LN+"	"ER-/LN+"	"ER-/LN+"	"ER-/LN+"	"ER-/LN-"	"ER-/LN-"	"ER-/LN-"	"ER-/LN-"	"ER-/LN-"
"U89606_at"	243	102	10	10	10	551	797	530	271	752	10	10	659	1676	26	1420	414	296	10	510	161	329	1772	992	660	153	356	636	1288	10	152	257	658	463	10	272	42	400	127	46	10	1474	623	608	869	1166	515	57	165
"U89922_s_at"	10	10	10	10	10	197	10	10	10	10	10	10	543	414	10	761	10	10	10	10	10	10	10	10	10	10	703	385	10	10	10	10	10	10	10	10	20	10	10	10	10	10	40	10	574	10	1071	10	10
"U90065_s_at"	233	10	10	10	10	428	286	10	393	10	10	10	188	149	141	407	132	130	396	281	10	10	606	10	187	10	118	90	354	10	656	10	353	775	63	10	10	248	538	362	56	10	232	826	266	316	424	188	826
"U90336_at"	10	27	10	10	10	10	10	10	10	10	10	10	332	461	10	10	10	115	10	10	10	10	10	10	10	10	10	10	10	10	99	10	10	10	10	10	162	10	5582	10	10	10	10	10	10	10	1026	521	67
"U90552_at"	10	10	10	10	10	494	12	153	127	165	10	10	10	154	38	24	10	10	10	10	303	151	278	10	10	10	150	209	49	10	10	10	10	110	10	140	10	10	49	37	126	10	131	10	10	13	239	182	222
"U90908_at"	13	91	10	10	10	174	45	10	10	10	59	10	183	173	146	115	10	122	165	43	18	68	134	440	10	166	338	93	60	10	67	10	10	88	10	10	10	10	10	83	10	109	124	255	26	30	147	10	106
"U90910_at"	107	29	21	10	10	10	137	10	117	63	116	10	10	90	28	65	98	88	641	10	10	10	10	134	154	116	10	93	37	306	136	130	26	126	10	111	10	170	10	10	141	47	10	77	39	17	82	108	57
"U90918_at"	10	32	10	99	25	10	12	10	10	10	541	1073	65	210	376	269	10	28	1278	109	182	368	140	358	10	212	537	59	325	1993	10	90	48	83	209	10	10	102	44	129	152	266	203	116	61	91	10	10	150
"U91618_at"	10	396	31	45	10	37	10	32	10	10	53	10	10	21	10	36	13	2944	311	18	10	10	10	10	125	23	10	10	10	227	10	14	10	10	10	10	71	10	10	10	11	10	10	51	10	10	91	31	10
"U92457_s_at"	10	10	363	10	10	10	10	10	10	10	10	10	245	687	10	10	10	10	10	10	551	10	10	10	10	10	393	709	17	10	207	10	10	10	10	10	10	10	160	32	10	10	10	215	10	10	248	10	10
"U93049_at"	302	42	248	428	513	552	10	87	51	10	10	10	192	180	188	379	71	10	181	10	150	563	204	10	13	115	430	748	206	518	237	74	77	43	171	10	10	10	10	18	30	139	10	10	480	56	679	10	83
"U93553_at"	96	55	10	10	256	10	59	10	125	13	10	319	10	34	152	83	19	123	401	10	91	55	10	10	10	10	229	88	130	922	88	46	13	37	10	84	11	138	10	10	131	10	10	172	10	10	60	214	121
"U94320_at"	146	10	157	10	141	10	10	10	97	10	288	174	10	10	10	10	10	77	798	10	460	10	10	10	10	10	10	10	10	10	16	10	523	10	62	47	10	351	23	10	10	54	84	10	79	10	10	10	10
"U94747_at"	10	10	260	10	10	623	10	286	10	10	10	10	330	228	10	10	10	10	10	10	10	10	10	10	10	10	10	329	10	535	10	71	10	56	10	10	861	157	10	10	10	143	10	10	10	412	384	10	240
"U94836_at"	740	372	10	418	293	492	10	410	138	10	10	10	564	546	169	523	1100	10	10	364	65	10	165	10	318	178	463	430	198	1032	402	10	158	451	375	236	279	674	439	578	673	552	1043	10	10	10	635	1012	348
"U95740_rna2_at"	127	269	144	10	179	73	29	246	224	213	10	43	10	52	140	10	831	484	10	2824	437	1140	30	267	76	10	32	10	10	730	693	2982	520	384	470	1145	89	826	33	367	80	29	73	10	53	255	19	10	25
"U96094_at"	590	470	21	669	638	10	10	409	10	461	10	10	626	109	146	272	478	711	1049	399	10	10	40	10	527	10	10	10	319	342	138	499	333	293	315	245	251	409	451	505	501	10	191	302	10	341	395	435	48
"U96136_at"	116	48	10	10	120	66	10	10	163	10	10	851	53	70	136	98	57	50	808	30	108	19	93	10	23	33	10	10	10	133	12	78	86	59	32	59	150	140	10	41	10	18	15	10	36	10	75	25	116
"U96629_rna1_at"	43	278	120	145	10	82	10	336	10	116	452	10	183	231	65	16	161	204	10	661	371	84	10	10	51	121	76	261	428	366	31	273	181	152	93	16	10	161	10	493	210	29	10	128	267	203	211	246	10
"U96769_rna1_at"	237	2096	255	10	10	172	347	28	140	56	10	10	136	26	10	75	1373	1739	2869	154	49	190	10	240	112	343	283	10	204	4087	10	168	44	78	45	10	10	208	35	60	79	10	10	88	10	9489	10	10	44
"U97188_at"	65	23	94	10	10	38	109	10	23	35	501	1220	38	39	86	38	10	10	10	55	20	10	29	48	23	40	26	10	17	64	77	31	10	52	10	33	16	33	28	10	90	463	97	10	10	10	199	10	30
"U97502_rna1_at"	39	11	10	52	232	312	10	10	219	241	311	10	10	134	10	114	10	10	10	120	248	10	117	104	10	10	34	65	37	10	20	33	130	14	10	37	61	10	10	43	10	104	106	47	97	10	249	74	59
"V00535_rna2_s_at"	67	150	259	165	471	412	207	10	306	147	10	10	170	92	134	122	10	328	10	10	197	28	106	330	164	10	38	234	10	217	12	10	13	10	10	13	10	10	46	24	10	10	10	10	81	10	10	214	10
"V00594_at"	1661	1520	10	818	185	125	2730	3151	868	3725	10	10	5519	2219	6403	10	3612	3857	10	3399	10	1445	653	10	4828	10	4888	2926	5592	7472	1484	10	4707	2706	3033	10	9405	3705	2716	69	10	4002	108	1349	4342	5212	2966	566	4480
"V01515_cds1_at"	139	13	10	58	142	52	64	10	10	26	10	1058	65	41	99	22	51	10	10	93	31	198	31	164	150	15	10	83	32	10	27	13	175	11	10	95	10	10	56	10	21	15	36	10	10	105	89	205	10
"X00129_at"	10	10	10	17	123	10	19	43	126	849	74	394	10	24	102	10	10	75	323	10	10	10	10	2134	10	10	10	10	10	10	30	62	10	87	10	74	89	10	154	10	29	10	10	27	19	15	87	125	62
"X00437_s_at"	10	10	10	10	10	710	10	10	10	232	10	10	546	482	10	280	10	10	10	10	10	10	10	10	10	10	1699	2689	1289	10	10	10	23	10	10	10	749	10	10	10	10	187	10	10	1294	108	541	154	10
"X02176_s_at"	10	169	82	127	106	98	12	77	343	307	158	1310	10	10	10	25	103	40	10	10	380	14	10	10	134	101	10	10	10	640	19	10	91	10	10	103	10	10	10	10	10	75	10	10	139	10	10	10	56
"X02404_at"	95	47	2052	10	227	164	10	75	10	40	64	282	188	56	10	115	175	135	10	30	10	10	144	148	151	89	163	105	68	36	54	70	10	28	10	10	207	12	50	10	54	13	10	115	10	16	33	10	10
"X02530_at"	88	60	235	318	612	2128	229	736	368	691	81	10	2352	2316	10	2032	78	72	174	108	185	295	123	16	10	232	3267	3124	1809	549	616	10	345	627	228	419	971	130	119	10	232	3656	1521	10	3664	977	1749	279	170
"X02544_at"	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	4900	10	10	10	10	10	40	1483	10	10	10	10	10	10	10	10	805	10	10	10	10	10	10	10	10	10	10	10	10	130	10	10	10	10
"X02958_at"	10	17	182	66	414	26	10	64	10	44	1284	2745	35	99	246	70	355	420	706	136	1257	20	10	15	42	81	145	193	148	10	10	261	68	27	39	10	102	18	10	75	153	10	10	10	106	110	10	88	69
"X03635_at"	6216	5861	4125	173	10	33	46	4047	1256	1087	4701	1054	10	142	10	131	1242	1369	775	6774	6243	414	10	10	3601	31	210	115	662	4068	449	12756	3389	3803	1747	3973	10	2845	7032	8497	10	10	10	331	10	48	116	10	10
"X03794_s_at"	530	594	10	1372	10	10	10	10	10	10	617	10	10	55	10	10	200	10	908	352	135	10	10	10	10	10	10	10	896	10	12	10	10	214	156	10	10	10	10	10	44	10	10	10	10	10	10	10	10
"X04201_at"	1065	10	12	123	73	85	10	34	10	10	730	806	12	116	221	10	182	10	10	25	317	10	195	10	10	10	225	42	10	1018	21	21	10	10	10	50	317	125	71	10	304	319	156	10	48	16	10	360	114
"X04297_at"	242	182	10	161	574	245	82	10	72	10	10	269	111	156	239	156	28	129	150	168	109	151	146	407	10	193	13	69	10	10	80	26	10	10	10	10	10	10	156	31	146	28	44	69	50	10	10	10	11
"X04325_at"	203	454	136	373	636	233	216	232	370	117	1403	10	198	10	118	55	10	210	10	10	407	10	10	106	10	29	227	10	10	810	140	10	107	166	172	190	306	10	307	272	536	53	310	10	10	10	221	363	239
"X04434_at"	550	938	351	20	10	431	10	305	205	69	10	10	311	176	89	10	473	431	203	259	293	10	151	10	370	81	195	10	76	10	57	30	301	171	268	346	85	245	217	226	10	330	333	10	134	10	208	50	252
"X04470_s_at"	226	199	124	245	895	1698	43	96	133	369	195	129	324	10145	3037	6392	1071	442	503	10	106	2026	4163	345	237	1964	2018	635	413	10	133	14	10	42	802	298	10	21	10	74	107	791	1077	2137	2261	278	584	2003	485
"X04500_at"	10	10	10	10	10	521	10	10	10	123	10	85	10	611	205	565	10	39	639	23	10	10	10	10	10	10	329	41	10	622	10	10	37	41	10	10	10	123	10	10	10	13	24	10	10	10	103	10	10
"X04729_s_at"	10	43	10	10	10	146	42	10	352	304	10	537	10	10	10	324	331	10	10	59	28	142	10	39	107	10	10	137	10	330	21	144	10	154	10	10	10	171	46	85	93	10	10	151	271	10	20	10	10
"X04741_at"	10	10	10	10	10	356	10	10	10	276	10	1382	10	10	81	10	10	10	1296	10	169	52	407	10	10	10	203	113	10	10	10	10	10	10	10	10	10	10	19	10	972	368	97	799	10	10	446	10	10
"X05153_rna1_at"	63	157	223	172	314	66	128	134	150	84	10	10	10	10	145	195	10	10	295	143	10	70	13194	10	164	242	10	136	10	10	10	10	150	61	26	21	10	10	127	10	137	10	10	54	225	124	10	10	10
"X05299_at"	10	10	10	10	10	10	10	509	10	493	10	10	191	126	867	10	10	250	10	440	10	370	10	10	10	334	10	10	10	10	10	898	499	91	10	10	10	546	10	152	10	642	10	168	10	10	345	10	53
"X05309_at"	10	26	201	155	86	47	43	81	13	33	10	1907	70	91	82	10	125	103	53	130	271	13	10	10	220	59	145	10	83	438	91	10	34	10	10	10	10	10	22	88	10	10	10	10	10	10	10	33	69
"X06182_s_at"	128	10	10	10	10	121	175	29	88	71	10	10	90	114	109	154	10	191	767	10	10	10	140	375	73	1469	302	137	10	10	10	10	45	34	42	28	265	21	10	10	165	10	61	472	239	17	10	649	83
"X06268_at"	15881	207	361	176	396	1096	115	531	246	279	3194	3915	32	2999	99	10	195	151	10	90	971	194	114	18	1121	135	70	115	220	125	76	107	3291	102	190	278	9656	4355	112	54	312	226	1868	10	78	48	206	449	248
"X06290_at"	164	10	10	10	10	10	41	10	116	10	10	874	52	10	10	10	23	65	60	45	10	29	59	340	49	10	10	77	24	605	10	51	33	25	10	10	69	10	195	10	10	12	11	10	10	164	47	101	31
"X06825_at"	140	10	10	57	507	126	75	10	10	10	10	10	10	360	10	213	11	362	10	54	10	347	336	10	10	10	219	290	10	10	260	37	14	20	265	10	1089	207	10	10	40	347	220	244	273	10	29	189	54
"X06956_at"	10	437	166	147	170	650	1278	572	165	72	10	171	531	261	10	69	222	52	10	49	10	702	581	10	235	946	193	335	135	108	10	161	120	230	10	10	10	10	447	10	10	10	10	188	717	10	864	92	95
"X07619_s_at"	181	207	485	545	230	266	10	173	10	10	10	10	10	177	30	165	500	10	194	147	282	98	24	236	243	381	529	309	130	112	10	349	219	125	382	10	571	381	10	61	794	251	29	402	187	376	16	10	10
"X07695_at"	103	198	247	671	1473	176	686	10	374	10	10	10	10	212	329	503	10	997	1819	10	10	10	10	10	666	127	10	120	10	10	643	872	398	10	47	503	228	10	10	10	556	10	524	227	575	10	10	10	10
"X07696_at"	1438	10	10	10	275	7902	3329	212	697	357	10	272	4096	3214	13090	158	480	1528	492	1204	392	10	502	10	10	10	10	588	72	10	2361	10	228	10	2860	598	1098	12	10	10	10131	662	2802	4671	1306	143	1070	653	10
"X07732_at"	487	3192	1761	10	10	178	10	135	289	112	742	852	10	10	10	10	10	10	10	866	359	10	658	10	10	10	10	10	10	1256	10	1493	1564	219	10	477	663	902	1228	980	10	44	291	243	10	10	10	10	10
"X07743_at"	23	10	133	178	277	141	107	119	32	10	10	720	44	191	135	219	122	10	142	10	157	68	31	10	116	10	276	282	205	10	124	10	18	32	44	88	89	10	33	10	10	40	77	10	122	27	158	10	23
"X12458_rna1_at"	10	10	10	10	50	33	10	63	10	525	2389	2646	10	209	10	86	694	34	830	109	922	10	107	274	10	38	355	381	142	653	10	197	10	10	10	10	10	10	10	10	123	402	137	229	10	304	42	10	10
"X13100_s_at"	10	71	10	141	10	141	10	10	86	56	10	10	73	10	10	21	231	20	1302	14	10	44	24	258	45	119	10	59	10	303	10	72	10	40	43	10	20	33	38	10	99	42	14	67	10	10	10	59	10
"X13334_at"	10	15	10	10	10	330	1199	84	80	10	10	10	2129	1667	2007	2343	10	10	10	175	490	302	3201	10	10	1830	1128	1088	545	1116	620	10	267	10	10	10	10	10	10	10	10	655	363	829	389	65	2140	10	623
"X14253_s_at"	10	10	11	73	10	10	144	10	10	10	151	374	70	10	10	10	329	195	146	10	10	10	10	27	10	58	10	10	10	1076	50	10	10	132	10	137	110	96	10	116	10	114	42	72	10	42	83	48	55
"X14445_at"	230	178	168	104	112	127	30	164	25	328	186	236	10	18	224	10	47	56	353	253	34	197	113	278	123	45	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	99	13	87	60	54	130
"X14474_at"	557	213	10	81	54	50	45	388	418	164	10	10	11	90	10	10	888	423	1690	510	68	106	64	232	96	68	187	35	119	240	10	410	254	302	174	308	95	113	284	26	16	13	10	10	40	65	10	25	79
"X15306_rna1_at"	43	1429	10	10	54	10	10	92	36	10	518	1355	30	10	71	61	138	48	925	41	95	95	64	153	38	295	11	10	10	459	84	132	13	18	21	23	10	56	10	23	275	27	48	10	116	35	10	62	10
"X15331_s_at"	502	624	236	129	178	10	131	266	28	152	10	10	48	185	375	471	10	312	1649	293	81	51	386	56	10	10	16	228	506	1124	10	612	165	10	369	10	92	277	10	311	10	146	10	89	357	569	10	310	459
"X15376_at"	10	158	159	109	10	108	48	166	225	37	10	10	10	10	10	10	258	10	10	10	298	263	10	10	155	10	20	10	10	2427	10	346	150	81	10	91	10	452	30	10	37	10	10	272	10	93	150	31	100
"X15875_at"	10	174	111	10	278	84	77	48	35	94	10	368	10	392	73	166	10	80	1001	27	583	10	10	10	10	10	189	71	61	10	109	192	148	36	10	10	48	221	10	10	136	10	99	105	10	166	10	1084	10
"X16105_at"	93	107	293	207	789	106	245	121	265	225	10	10	10	61	10	152	162	74	1322	10	10	45	10	10	463	158	10	10	10	53	10	203	27	36	229	81	321	64	10	57	112	98	135	129	10	53	74	17	75
"X16260_s_at"	100	70	10	10	10	10	10	16	169	42	767	1169	35	10	10	61	146	10	10	10	10	28	10	154	10	56	149	243	125	30	69	268	10	141	50	236	10	128	74	220	306	58	24	146	137	10	158	216	120
"X16609_s_at"	44	34	66	161	38	68	202	10	10	10	40	1452	10	140	10	30	130	10	10	10	346	10	10	25	10	10	10	159	10	10	76	10	265	10	48	114	10	10	10	89	146	10	114	168	10	10	10	163	67
"X16662_at"	24	10	10	10	616	254	10	10	10	60	10	10	520	91	10	1212	289	10	120	10	290	10	10	1868	20	1828	1435	594	47	445	76	10	10	66	25	10	69	17	10	88	52	75	168	172	249	10	759	1261	44
"X16866_at"	90	36	17	10	247	10	14	129	38	78	649	145	102	95	38	87	108	134	1283	43	134	24	80	274	130	30	123	10	153	319	43	10	10	26	10	59	53	203	69	48	10	53	10	10	10	10	10	29	120
"X17025_at"	10	10	221	61	10	998	10	10	68	11	10	10	75	10	10	228	10	10	10	25	10	10	10	73	10	10	10	10	10	10	207	10	526	135	10	14	844	1752	313	198	33	692	241	1401	300	780	175	324	2808
"X17059_s_at"	673	2745	12357	4169	95	214	64	3396	2023	4017	12827	9589	81	200	192	106	7384	2621	459	16000	1903	681	118	156	110	10	82	198	224	1464	320	16000	3161	3268	2592	1802	186	2080	91	10946	87	54	122	177	105	174	178	158	92
"X17360_rna1_at"	38	30	92	14	10	46	54	66	10	10	696	290	10	10	10	10	10	10	10	10	10	188	10	10	141	10	10	10	10	10	10	10	18	298	188	62	296	160	37	10	631	383	25	118	10	10	25	10	10
"X17644_s_at"	365	218	10	10	10	38	185	99	88	325	10	10	471	412	105	84	137	285	10	564	215	10	538	10	294	544	10	131	467	10	42	532	547	591	146	328	198	608	284	819	10	709	816	382	677	986	687	10	1172
"X51441_s_at"	131	10	10	10	10	10	151	10	62	2530	10	467	1329	931	612	1231	10	68	10	10	158	10	10	10	10	10	10	10	98	10	10	10	10	10	10	10	10	10	167	10	10	10	362	10	164	10	135	451	10
"X51630_at"	128	26	10	10	54	10	39	46	24	10	10	10	203	10	854	14	46	137	296	10	10	10	132	10	47	10	179	45	10	10	327	114	21	12	10	40	63	10	85	10	25	106	24	31	30	10	10	81	33
"X51688_at"	10	59	10	10	413	61	52	293	166	10	10	10	391	455	270	300	10	10	1665	10	92	10	34	219	253	419	306	41	228	766	10	10	74	251	16	10	350	69	10	10	11	214	268	370	42	32	234	10	231
"X51698_s_at"	10	10	10	54	10	10	21	10	10	10	10	10	129	10	67	10	578	380	739	10	270	10	241	10	248	10	56	35	360	10	10	10	159	10	65	10	10	384	10	10	69	291	10	196	11	10	10	31	10
"X51755_cds5_s_at"	10	10	10	59	10	61	10	10	10	10	10	341	189	336	10	10	10	159	10	10	10	10	10	10	143	119	362	51	205	735	10	51	93	81	10	10	10	10	10	10	10	10	10	77	10	205	10	10	10
"X51801_at"	33	10	118	10	326	73	10	74	10	15	303	535	10	10	16	10	126	166	828	10	10	10	10	10	32	10	10	17	10	10	260	66	10	640	71	111	143	25	79	119	334	43	39	84	34	10	437	149	65
"X51956_rna1_at"	488	935	759	156	10	889	336	1266	227	870	10	10	262	10	43	196	244	290	123	391	10	629	60	10	849	66	10	46	117	10	488	449	1330	458	58	900	245	2260	842	10	685	168	188	10	10	351	52	436	657
"X52003_at"	923	1739	16000	675	10	10	10	1056	12734	5003	11222	706	10	109	10	10	16000	16000	1742	236	16000	258	10	10	2994	10	100	10	16000	10	187	4971	2015	11174	1116	15686	10	3546	130	2554	126	14	59	10	15	2387	10	240	400
"X52005_at"	15	10	42	65	42	67	282	10	42	132	10	10	10	10	197	10	153	19	798	10	240	101	132	73	10	196	117	184	156	10	79	104	82	10	10	15	15	127	10	70	189	10	10	85	281	39	122	24	96
"X52011_at"	4722	20	183	178	52	113	43	63	62	58	10	174	109	81	11	126	69	10	571	26	92	10	10	10	58	17	127	120	23	127	162	10	47	18	48	113	176	29	128	55	164	75	70	210	48	10	216	10	130
"X52142_at"	10	10	10	10	10	12	288	10	21	171	689	108	689	231	208	301	10	10	637	93	10	10	365	142	48	262	143	140	10	10	10	55	252	85	76	10	439	79	10	133	456	674	509	142	796	137	364	123	120
"X52228_at"	10	10	10	10	98	10	10	18	234	343	10	209	10	80	484	42	512	547	10	82	436	10	10	10	10	10	10	243	101	10	73	327	347	113	408	365	10	90	10	122	10	62	112	40	71	57	26	129	60
"X52426_s_at"	10	10	10	10	10	10	10	10	10	82	10	10	10	10	234	131	10	161	1003	10	166	79	10	10	10	50	170	10	43	10	10	10	10	10	10	10	10	10	10	10	149	11	131	429	154	214	10	163	10
"X52599_at"	149	104	275	168	10	172	51	122	27	10	10	763	10	10	10	10	35	81	10	121	10	10	40	108	54	167	159	15	67	10	10	10	73	98	10	33	70	19	10	10	72	109	10	154	10	166	10	10	10
"X52638_at"	301	369	306	163	148	91	109	170	10	10	10	10	60	183	634	437	104	10	1178	196	10	515	749	10	42	411	290	60	10	10	10	247	311	286	325	10	10	10	370	319	583	100	246	212	175	194	139	10	66
"X52773_at"	304	112	10	135	46	86	10	264	122	186	574	543	340	10	228	218	243	163	10	15	243	112	98	258	223	51	10	10	151	10	10	317	14	46	10	10	10	146	10	136	10	78	123	92	10	51	15	10	10
"X52896_s_at"	10	150	10	10	10	10	10	10	10	100	10	10	10	109	10	158	10	142	1357	10	67	10	10	277	466	92	134	78	406	631	81	142	99	152	260	10	83	34	10	222	10	328	290	198	518	125	63	10	331
"X53414_at"	145	10	10	430	966	554	58	10	10	293	10	10	117	369	535	574	10	1047	10	231	10	92	10	350	434	111	10	248	10	10	10	568	10	363	214	10	10	605	62	378	347	416	107	290	10	147	328	10	10
"X53587_at"	50	10	10	10	172	264	541	42	208	650	10	59	1402	235	151	275	635	964	10	994	348	10	982	10	10	10	188	2094	316	835	87	10	45	10	10	113	1207	69	147	10	226	43	709	10	186	912	165	1092	307
"X53595_s_at"	10	47	10	10	10	10	54	78	19	10	428	1358	126	10	10	41	10	112	332	10	10	10	10	10	98	724	75	10	30	196	10	10	10	65	10	110	205	67	81	10	40	10	58	30	18	48	10	137	11
"X53795_at"	10	10	10	10	10	10	10	12	417	10	159	8768	99	263	44	96	96	124	491	251	1995	246	10	411	804	136	122	237	285	10	215	198	286	10	563	158	10	149	10	185	10	10	36	633	41	198	116	132	10
"X53961_at"	556	10	10	6172	1574	1698	10	10	6922	430	10	9733	15779	222	10	11176	10	6923	10	10	10	6628	10	21	10	1214	82	374	7031	10	333	10	190	10	10143	9901	10	10	10	10	10	10	3519	10	10	1734	10	488	10
"X54199_s_at"	47	159	10	10	10	10	10	111	105	87	108	176	307	197	10	106	72	10	133	91	201	10	162	10	44	169	117	10	41	237	95	10	10	113	76	75	277	117	122	160	47	468	404	158	209	181	11	257	88
"X54667_at"	350	78	1359	1703	10	98	80	34	1734	227	10	372	10	431	107	10	261	433	1637	56	660	8904	47	93	10	99	10	10	10	10	196	1253	586	61	356	10	10	761	127	1729	10	375	317	127	3392	23	531	67	157
"X54816_at"	39	93	10	85	10	15	218	11	236	36	619	339	10	124	32	104	69	361	502	88	10	16	29	53	10	10	10	10	232	10	49	144	40	135	235	10	10	10	10	10	91	127	10	32	93	10	10	10	73
"X54925_at"	10	18	10	74	10	560	437	10	322	65	93	478	364	476	10	79	10	97	130	23	10	10	10	15	13	49	10	46	182	10	255	10	40	715	102	249	228	25	16	10	38	597	701	154	470	359	70	10	10
"X55740_at"	57	38	10	46	165	167	71	10	10	64	589	125	88	292	48	10	29	10	10	10	10	10	10	129	10	18	23	10	62	23	273	10	42	72	12	46	117	10	37	10	10	176	132	55	30	101	120	10	10
"X55989_rna1_at"	139	39	152	115	333	92	10	70	10	10	10	10	52	26	10	10	275	116	1027	98	40	151	10	10	54	140	103	35	123	526	10	24	21	10	93	10	10	200	10	10	58	10	10	292	54	121	10	103	10
"X57025_at"	181	39	49	53	10	15	30	57	290	365	2101	2710	77	63	106	50	108	19	513	56	243	89	113	162	77	74	28	10	123	210	103	249	118	82	213	121	10	117	114	10	78	10	32	66	27	20	146	146	26
"X57110_s_at"	92	10	99	10	10	133	10	81	93	36	1000	776	10	10	10	35	156	192	10	12	613	49	132	383	63	24	91	56	106	380	77	289	183	76	24	226	187	10	10	59	10	86	10	255	40	173	10	10	10
"X57129_at"	437	379	2248	10	10	188	10	532	10	248	10	10	10	10	290	10	10	10	887	24	10	163	81	258	10	10	36	23	10	10	10	268	673	82	164	10	10	745	1038	43	10	10	153	58	73	10	10	10	144
"X57809_at"	290	41	186	1138	63	3187	4910	38	341	226	10	10	267	820	10	3720	104	177	10	47	54	395	120	10	45	238	263	2044	270	10	129	78	10	124	22	24	10	10	77	107	10	1482	174	43	1747	1366	181	9290	117
"X58072_at"	12900	6363	4330	2887	10	1668	1092	6047	3097	2245	8340	7860	628	319	329	89	2998	2125	1727	3963	3878	2527	135	906	4202	991	265	1367	2331	4310	4560	6426	7110	2965	3184	5185	145	9273	12593	6735	10	10	342	1149	10	1309	427	278	88
"X58079_at"	10	1276	10	10	10	977	452	71	260	429	10	10	209	1894	1948	173	427	222	321	2570	10	10	3876	10	10	1572	2144	10	10	106	10	595	800	10	10	10	10258	261	10	2185	10	3022	3072	1300	452	1240	1388	1088	229
"X58288_at"	80	112	91	22	137	84	76	10	60	89	136	10	196	203	176	51	99	189	10	26	10	325	89	10	10	10	10	362	16	10	43	10	24	33	341	758	10	10	31	10	57	10	352	61	10	83	137	89	18
"X58529_at"	172	87	134	1879	2228	4920	10	129	10	473	10	10	88	626	10	2333	10	210	10	168	10	567	232	319	261	10	240	506	368	751	34	10	10	360	137	66	315	84	318	165	70	483	418	10	305	204	68	1769	10
"X59711_at"	81	10	10	60	10	109	10	10	18	32	678	1630	24	10	38	47	259	49	88	11	40	76	10	78	10	10	125	26	89	10	67	10	29	31	10	22	10	10	10	58	10	89	10	10	116	53	41	104	56
"X59727_at"	175	149	51	10	10	107	10	55	10	202	10	10	10	107	10	193	108	111	10	40	35	73	10	10	36	138	156	10	44	409	75	130	199	61	18	98	10	253	48	24	108	145	175	92	10	19	10	10	126
"X59842_rna1_s_at"	10	164	125	374	216	247	335	69	412	230	840	2093	200	309	10	555	496	598	238	10	10	425	327	785	336	889	167	539	290	1661	14	139	228	10	10	138	475	115	10	10	10	20	150	222	13	84	10	10	84
"X60104_s_at"	10	34	10	10	10	10	51	10	10	10	24	426	10	10	10	10	10	10	10	92	10	77	10	10	10	158	10	10	10	1771	10	32	41	10	72	10	10	12	10	10	10	10	10	199	10	178	10	10	10
"X60299_s_at"	142	148	10	15	187	10	140	49	10	133	10	10	70	208	41	133	10	80	1298	92	17	22	105	308	106	10	10	31	93	150	27	116	85	72	10	10	92	79	12	10	68	10	64	106	73	83	32	10	129
"X60382_rna1_at"	46	61	122	10	163	274	619	184	872	482	790	1637	375	156	10	10	339	833	10	10	287	2828	58	10	10	10	10	362	33	10	602	84	10	673	778	574	108	76	319	254	54	238	659	431	492	272	68	29	218
"X60787_s_at"	10	10	10	10	10	121	10	167	21	148	400	10	546	69	94	260	10	10	10	151	10	10	144	23	16	127	10	445	10	10	10	285	471	77	10	167	808	302	202	10	10	327	357	10	54	10	10	10	10
"X60992_at"	112	10	10	10	10	219	40	178	70	110	267	10	58	269	35	10	10	148	10	199	260	109	189	19	10	10	89	134	122	10	12	15	78	10	219	215	259	27	84	16	137	183	45	10	341	89	10	92	10
"X61755_rna1_s_at"	374	344	330	10	187	158	10	351	10	10	10	10	584	494	37	10	305	354	10	10	110	10	10	185	530	10	212	10	23	10	241	206	10	465	511	266	377	31	261	134	555	106	98	10	10	11	113	80	650
"X62429_s_at"	31	34	11	108	15	48	10	36	10	51	867	1822	59	10	13	24	57	86	141	15	308	21	84	10	30	28	97	22	10	322	87	10	46	12	35	10	26	18	30	31	48	21	10	27	45	60	60	92	61
"X62515_s_at"	75	13	10	294	10	10	10	10	216	326	300	10	162	10	178	10	409	853	1203	96	96	114	41	45	133	32	470	79	224	75	25	323	511	275	459	307	10	345	10	283	241	221	394	478	488	173	87	10	119
"X63131_s_at"	311	319	33	10	508	10	991	163	221	233	10	10	459	657	165	435	663	584	10	242	371	267	179	261	251	10	119	283	17	381	10	280	10	10	233	10	10	39	10	519	10	329	22	30	306	389	227	135	509
