	"Brain_MD_12"	"Brain_MD_61"	"Brain_MD_15"	"Brain_MD_57"	"Brain_MD_33"	"Brain_MD_64"	"Brain_MD_17"	"Brain_MD_62"	"Brain_MD_63"	"Brain_MD_32"	"Brain_MGlio_1"	"Brain_MGlio_2"	"Brain_MGlio_3"	"Brain_MGlio_4"	"Brain_MGlio_5"	"Brain_MGlio_6"	"Brain_MGlio_7"	"Brain_MGlio_8"	"Brain_MGlio_9"	"Brain_MGlio_10"	"Brain_Rhab_1"	"Brain_Rhab_2"	"Brain_Rhab_3"	"Brain_Rhab_4"	"Brain_Rhab_5"	"Brain_Rhab_6"	"Brain_Rhab_7"	"Brain_Rhab_8"	"Brain_Rhab_9"	"Brain_Rhab_10"	"Brain_Ncer_1"	"Brain_Ncer_2"	"Brain_Ncer_3"	"Brain_Ncer_4"	"Brain_PNET_1"	"Brain_PNET_2"	"Brain_PNET_3"	"Brain_PNET_4"	"Brain_PNET_5"	"Brain_PNET_6"	"Brain_PNET_7"	"Brain_PNET_8"
"U58675_cds1_at"	10	10	58	23	10	37	23	10	10	101	58	10	110	147	10	10	132	40	10	169	10	10	10	235	10	10	24	10	16	35	60	10	86	10	35	47	10	10	10	10	116	90
"U62438_at"	10	118	10	10	10	10	10	10	10	10	293	76	33	10	289	10	10	10	244	10	10	35	10	38	10	10	10	65	10	195	48	225	10	10	111	51	519	10	10	10	10	75
"U74324_at"	54	143	10	89	10	10	69	283	10	10	10	10	10	153	10	10	10	10	10	10	10	202	10	28	10	10	10	10	33	10	91	10	10	10	10	72	615	10	10	49	105	10
"U82467_at"	10	10	10	97	10	10	10	74	10	10	297	344	10	277	10	10	258	10	141	10	154	32	10	385	71	10	10	10	10	10	10	10	10	10	10	128	1192	10	10	10	105	536
"X52228_at"	10	10	10	10	10	77	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	15	10	10	10	10	10	10	10	10	10	377	10	10	188	355	788	10	10	17	700	265
"X57985_rna2_at"	55	125	222	77	10	10	46	265	10	10	13	535	129	478	411	848	10	10	10	136	35	932	578	413	512	10	176	184	136	10	862	48	294	10	757	93	10	10	24	620	1610	10
"X58072_at"	10	10	10	10	10	10	53	10	10	10	10	10	10	10	10	14	10	82	10	10	10	1341	10	10	5460	10	202	24	10	10	10	10	10	10	103	150	10	10	10	10	10	11
"X71661_at"	289	33	44	86	70	216	212	333	126	109	20	10	28	10	126	229	128	534	10	10	388	505	40	899	1307	45	330	247	41	10	84	10	10	10	10	115	10	405	10	96	10	122
"X74142_at"	639	10	10	10	10	85	2164	3331	439	10	2013	857	404	64	10	1755	1697	2198	10	10	3800	86	10	170	87	10	10	103	814	10	443	10	10	10	770	587	1086	174	10	2074	186	215
"X75918_at"	108	87	75	10	10	12	42	1144	12	10	10	284	471	10	10	10	10	10	10	10	10	10	1065	962	10	10	10	61	32	10	412	10	92	10	35	49	10	103	10	62	10	10
"X82209_at"	211	10	55	44	10	10	10	10	10	10	1071	65	702	1127	10	10	10	10	748	37	2383	249	10	10	10	210	10	136	223	10	10	10	10	10	10	28	10	10	391	10	10	10
"X90392_at"	90	10	10	97	10	173	10	287	149	10	10	10	10	183	10	10	10	246	10	10	219	50	64	761	298	131	10	21	203	10	10	10	10	10	192	41	144	256	89	10	10	10
"X99975_at"	155	21	51	10	10	62	10	38	44	10	245	10	14	41	10	10	10	10	48	10	10	75	10	10	10	50	10	10	48	10	169	10	76	10	26	10	10	10	208	10	10	10
"Y07909_at"	125	42	10	54	10	56	58	10	24	10	51	229	438	129	10	648	2151	1953	81	14	10	437	10	28	235	1154	689	3273	1836	100	109	10	10	10	76	95	10	35	10	10	10	20
"Z31695_at"	10	10	872	10	10	10	10	333	10	190	10	125	10	100	10	54	10	10	10	65	69	331	222	1478	41	318	10	224	526	20	3703	3022	1846	2059	10	31	10	3264	10	10	10	10
"HG2157-HT2227_at"	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	247	10	10	10	10	487	10	11	10	436	10	37	10	10	50	916	10	10	10	174	10	10	10	10	10	10	10
"J03060_at"	10	609	95	194	10	365	10	116	10	10	10	76	10	10	32	10	10	10	10	258	10	164	67	215	10	371	71	10	37	245	267	10	10	10	10	190	10	10	10	69	10	10
"AB000816_s_at"	13	10	10	10	10	10	10	202	10	10	10	10	10	17	10	1434	281	10	10	131	10	10	10	10	10	10	10	10	10	10	10	10	10	10	107	72	144	10	10	10	396	10
"AB006781_s_at"	49	10	86	59	10	98	94	10	10	10	10	431	10	147	190	10	110	10	10	42	10	160	10	10	14	14	35	10	61	10	382	10	10	10	10	53	10	100	143	10	385	174
"S62027_s_at"	217	16	10	10	10	10	362	10	10	10	10	10	28	10	10	10	10	10	10	10	10	10	10	10	10	28	10	10	10	10	54	10	10	10	17	10	96	10	54	10	2304	10
"D00408_at"	25	75	53	10	47	10	94	35	10	10	67	103	120	112	32	10	10	40	195	10	10	10	10	30	10	10	32	15	10	160	176	538	60	10	10	103	10	10	158	76	10	17
"D00003_s_at"	10	10	10	10	10	10	10	49	10	10	76	10	10	10	10	10	10	10	97	14	10	10	10	10	10	23	10	10	10	10	218	10	198	10	10	10	384	35	10	74	10	10
"X02419_rna1_s_at"	112	59	128	97	168	15	37	379	83	10	10	393	62	112	17	1733	409	2319	189	10	2412	1801	133	10262	254	3904	787	6017	1126	155	91	10	211	141	273	368	1000	215	29	300	110	483
"X62429_s_at"	10	49	10	10	210	20	27	10	10	98	24	76	216	11	136	61	56	10	48	28	29	10	41	10	10	10	10	10	10	135	10	900	86	216	10	28	19	54	64	10	10	189
"HG1686-HT4572_s_at"	10	42	22	10	77	34	10	10	10	10	10	10	10	10	10	43	10	28	10	10	10	566	10	10	76	10	274	297	110	10	10	10	10	10	107	16	10	10	10	49	250	10
"D13666_s_at"	564	14	93	10	20	346	299	233	65	10	42	10	10	791	61	218	5894	11265	65	28	2250	4023	209	869	15988	8606	3803	1853	791	10	12	64	121	239	10	167	10	100	10	111	10	603
"HG2348-HT2444_s_at"	10	339	68	45	337	10	79	10	10	10	10	1267	572	230	10	240	10	603	265	484	76	271	12	10	10	160	10	184	10	15	10	10	10	10	53	10	10	10	411	22	291	364
"HG2075-HT2137_s_at"	76	10	18	10	27	126	10	10	10	10	10	136	10	10	10	105	10	68	10	18	70	227	10	130	122	67	10	101	47	205	10	48	10	10	134	10	10	16	10	10	116	10
"D16688_s_at"	585	25	46	40	10	10	31	2513	288	1258	10	10	10	94	10	10	10	10	70	10	10	10	10	13	10	45	10	10	10	10	267	10	10	10	255	10	10	16	14	1739	10	763
"D17408_s_at"	86	10	10	10	10	10	38	10	10	10	10	10	10	94	10	10	10	22	10	10	995	2566	18	10	603	392	16	249	464	95	10	10	10	10	147	22	10	10	173	10	256	10
"D28235_s_at"	47	10	10	10	10	10	38	10	10	10	10	322	96	10	10	10	10	10	10	10	10	10	10	89	10	129	10	390	19	10	10	48	112	10	10	10	67	10	10	111	87	81
"X59842_rna1_s_at"	24	10	10	10	10	10	10	28	268	10	10	10	10	10	10	10	10	10	10	10	10	193	10	437	214	10	10	10	39	25	10	32	10	1504	10	10	2654	158	376	10	2071	1425
"D29675_at"	10	10	10	10	10	10	10	10	30	10	38	10	10	10	10	10	10	10	10	155	10	10	10	10	10	10	50	10	10	10	254	10	10	10	143	128	798	10	10	10	1283	533
"L27624_s_at"	214	10	10	10	10	24	10	10	10	10	10	10	10	10	10	10	40	10	10	10	10	200	10	440	10	10	11	4106	2152	10	133	10	10	10	40	516	173	365	10	10	163	67
"D31628_s_at"	76	146	10	85	10	10	10	38	10	10	135	191	52	11	10	10	10	218	10	244	10	10	10	10	584	10	10	49	171	350	109	10	10	10	10	10	10	10	10	10	116	10
"L10377_s_at"	10	10	10	41	10	10	10	233	10	72	1384	10	10	10	877	353	10	10	10	10	343	63	10	836	559	10	151	286	10	486	10	10	10	13	10	12	394	10	10	10	10	375
"S79862_s_at"	24	28	10	42	10	45	15	308	14	10	130	92	10	17	10	36	99	72	10	10	28	81	69	438	143	45	281	196	10	10	285	10	195	10	35	124	10	10	10	10	10	10
"X82279_s_at"	10	264	31	196	10	140	53	124	10	120	182	546	72	76	10	10	10	10	265	235	10	10	10	10	10	146	41	113	10	30	10	554	561	403	156	86	10	84	10	10	10	10
"D37781_s_at"	10	10	10	124	10	31	10	10	21	10	10	10	10	247	10	10	99	10	10	159	10	10	10	241	10	11	28	10	18	10	72	10	10	10	10	10	173	19	10	10	192	20
"U11821_s_at"	10	10	84	20	77	40	30	60	33	10	10	174	216	10	10	120	10	10	70	239	10	10	10	10	10	10	26	10	23	10	10	10	64	144	103	122	384	10	217	86	10	192
"X89109_s_at"	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	91	78	10	10	10	590	10	10	138	10	10	10	10	10	10	10	10	112	10	10	682	10	10	10	10	10	10
"M19311_at"	19	10	10	34	10	10	17	10	10	10	10	10	250	10	10	10	10	10	10	10	10	39	48	10	10	55	48	10	10	10	10	112	10	10	103	10	500	76	217	10	10	10
"D50477_s_at"	10	311	10	10	148	10	10	95	144	10	10	10	10	10	10	69	11	358	10	164	10	10	10	10	10	91	10	10	10	10	10	1020	10	10	143	202	10	10	10	10	10	10
"Z79693_s_at"	17	120	145	10	59	10	10	758	10	173	10	10	91	147	81	10	87	82	10	188	58	27	56	23	1466	129	80	28	18	50	528	329	1731	1169	76	93	10	10	94	66	688	46
"U50822_rna1_s_at"	794	6217	909	5170	10	133	1319	8152	204	232	10	10	10	10	10	10	10	10	97	244	10	10	10	10	10	10	10	10	10	10	4844	586	5238	2532	10	16	288	10	94	3037	2970	10
"D83017_s_at"	277	10	206	71	114	63	111	7645	170	154	13	10	10	35	10	10	105	95	320	10	191	135	218	436	534	45	47	484	110	10	145	691	490	771	470	134	38	65	49	208	10	935
"D85425_s_at"	10	10	27	31	10	487	10	751	16	10	10	10	10	10	10	10	159	10	10	10	351	564	614	554	391	10	160	117	126	10	947	10	150	10	318	175	10	10	104	129	10	10
"U52373_s_at"	10	155	10	10	10	10	10	10	10	10	489	557	327	212	10	10	76	161	461	474	58	10	10	10	10	10	91	10	10	10	10	10	10	10	10	10	461	10	10	10	472	10
"D86043_s_at"	10	10	548	73	10	952	342	2378	161	10	10	590	28	10	10	10	450	10	2392	531	10	78	10	10	10	10	102	224	10	1960	10	10	1872	10	10	494	432	10	10	501	10	1535
"D86331_s_at"	12	10	10	10	10	10	10	301	10	219	10	10	10	702	10	10	10	10	10	10	1129	1019	103	10	10	10	66	369	475	10	10	659	10	10	179	10	10	10	64	220	723	10
"D90279_s_at"	10	80	10	10	10	10	10	10	10	10	47	10	10	64	10	10	211	4485	10	136	10	10	10	417	1309	2625	362	10	26	10	10	10	10	10	10	223	480	103	10	10	35	440
"HG2271-HT2367_at"	10	10	10	10	10	10	289	10	10	10	10	10	10	10	10	236	10	10	10	10	10	10	10	10	10	10	10	82	44	626	582	10	10	10	10	10	10	10	10	10	10	10
"HG1227-HT1227_s_at"	10	10	10	10	10	10	85	10	10	10	10	10	10	10	10	50	10	10	10	10	884	10	10	10	13	10	271	10	51	10	10	80	10	10	10	1784	10	10	351	10	10	297
"HG1327-HT1327_s_at"	33	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	27	10	10	10	10	10	42	45	112	16	381	10	10	200	10	184	44	59	35	10	10	10	138	10	10	10
"HG1496-HT1496_s_at"	61	10	10	20	25	30	10	1013	35	10	10	10	10	10	10	1427	10	10	10	10	70	16000	10	317	830	239	3752	16000	16000	10	10	10	10	174	277	11590	827	10	470	52	10	1937
"M76125_s_at"	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	222	10	10	10	10	10	271	10	122	10	55	119	163	98	10	18	715	246	124	10	10	577	76	10	10	10	107
"M29874_s_at"	43	10	20	10	10	10	10	202	10	10	198	27	10	165	113	10	173	10	211	98	10	72	10	217	10	10	106	10	10	10	145	10	10	10	10	10	10	73	10	10	10	10
"HG1877-HT1917_s_at"	1138	479	1491	248	212	258	82	389	149	353	295	16000	1949	289	1977	7480	756	30	754	676	638	273	157	290	381	114	113	140	101	10	8615	377	8383	8493	22	153	250	735	14	334	16000	1200
"HG2259-HT2348_s_at"	10	10	10	10	10	10	10	10	10	10	10	10	28	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	2762	1157	1974	1215	10	10	10	144	10	10	1178	10
"HG2260-HT2349_s_at"	10	10	16	10	10	10	10	333	10	10	10	163	10	10	10	10	10	22	10	28	12	112	10	2097	1613	33	33	128	10	10	10	10	10	10	10	10	10	10	10	10	262	10
"HG2380-HT2476_s_at"	10	243	10	10	262	10	10	10	129	10	10	508	298	10	394	50	384	28	10	253	10	10	63	10	10	50	10	40	36	10	10	369	368	10	10	53	10	10	10	10	10	37
"X52611_s_at"	10	10	10	10	98	253	10	10	409	1262	297	10	10	10	1838	10	234	2817	10	277	286	10	10	10	766	10	10	10	310	220	1396	10	10	568	10	539	163	10	10	10	10	1862
"M87313_s_at"	84	10	10	211	10	322	10	10	10	413	10	10	611	366	309	396	337	544	417	211	435	884	474	73	636	10	205	10	241	857	552	10	10	10	10	10	10	10	10	10	10	10
"X06182_s_at"	43	14	169	10	10	300	23	272	23	10	119	10	10	348	10	10	36	10	130	272	10	33	10	60	10	19	70	19	30	10	376	554	2212	1067	215	132	596	32	168	389	10	265
"HG2564-HT2660_s_at"	15	10	66	10	10	10	13	56	10	10	10	10	10	10	10	10	31	10	10	10	10	10	10	10	10	10	10	10	10	10	157	10	259	275	10	31	500	10	108	10	10	10
"U22376_cds2_s_at"	169	10	10	63	10	72	10	99	10	29	10	10	10	23	131	10	10	10	10	10	117	129	10	10	649	10	24	10	72	10	103	273	10	72	237	10	10	76	74	156	10	10
"HG2649-HT2745_s_at"	224	10	10	117	130	10	10	233	10	10	10	10	10	10	71	316	10	74	10	517	10	10	10	113	10	10	28	10	142	10	10	10	10	10	10	10	10	10	10	10	10	10
"M90391_s_at"	10	10	10	10	29	10	10	10	10	10	10	21	10	10	10	10	10	10	10	10	10	43	10	28	10	67	10	10	10	10	552	1173	224	10	10	84	586	10	10	10	10	10
"HG2730-HT2828_s_at"	17	10	22	10	10	10	10	10	64	10	10	10	154	10	10	10	10	10	10	10	10	88	10	27	10	86	33	10	10	10	10	852	10	10	17	10	10	10	10	17	10	10
"X16609_s_at"	40	10	10	141	10	10	10	311	10	10	10	10	10	10	10	10	10	10	10	10	10	180	10	10	154	33	10	121	150	90	10	10	125	850	134	10	10	35	257	10	10	10
"HG2797-HT2905_at"	10	10	36	29	10	10	939	836	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	2962	192	2333	863	10	10	10	10	10	10	10	10
"HG2797-HT2905_s_at"	10	10	10	55	10	10	185	340	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	995	10	416	137	10	10	10	10	10	10	10	10
"M58509_cds1_s_at"	10	10	10	10	10	10	10	10	10	10	10	355	712	10	10	10	10	10	10	996	68	102	314	10	10	10	10	10	62	10	1032	10	676	134	197	84	10	814	10	10	10	10
"HG2850-HT4814_s_at"	10	10	29	10	36	10	89	74	10	10	340	98	10	10	10	10	596	10	526	10	10	10	10	429	10	10	145	119	43	80	10	10	10	39	10	10	2365	10	203	10	355	119
"HG2981-HT3127_s_at"	10	44	10	19	10	10	45	145	30	25	160	185	10	10	10	10	225	12	309	84	10	17	10	21	10	31	64	10	10	10	18	88	266	10	76	14	10	1141	24	10	10	122
"HG2981-HT3125_s_at"	44	84	10	10	50	10	10	21	261	10	10	966	341	129	267	932	551	580	1101	23	10	11	10	109	10	306	10	111	344	10	10	10	10	10	10	93	548	4263	198	10	17	247
"M31520_rna1_at"	132	44	198	137	10	10	10	10	10	10	29	196	10	10	10	10	60	10	32	10	10	82	14	101	10	21	56	10	11	10	48	56	10	19	10	10	759	92	10	34	437	10
"HG3242-HT4231_s_at"	10	330	69	148	10	102	10	63	10	10	10	10	10	10	10	10	10	10	10	10	10	18	10	29	10	10	10	10	10	797	157	1776	317	10	376	10	10	10	10	240	484	10
"U05572_s_at"	141	10	10	10	10	10	10	10	136	10	10	10	10	10	10	76	10	10	10	10	754	195	10	10	10	208	186	10	255	10	10	10	10	10	10	227	10	10	10	10	10	10
"HG3437-HT3628_s_at"	886	467	1200	200	420	190	429	347	439	413	3371	16000	6074	850	13389	9406	2662	392	9940	5908	1783	388	264	479	612	194	292	271	133	466	16000	2901	6145	3481	447	291	1336	24	2214	627	11384	2678
"J04093_s_at"	63	37	25	27	10	73	30	287	30	46	10	60	10	10	10	10	10	10	162	10	10	39	10	52	10	23	48	10	10	10	188	426	121	134	10	10	10	59	69	10	75	10
"S80267_s_at"	150	87	10	10	10	59	10	120	72	10	22	65	10	10	86	10	148	10	86	10	10	40	10	13	23	67	10	10	43	10	10	120	10	10	35	10	259	84	247	111	58	96
"HG3914-HT4184_s_at"	389	10	10	552	10	156	10	10	188	10	227	10	10	10	86	10	10	10	10	413	10	10	253	10	10	10	10	10	41	526	819	1535	10	10	465	417	673	779	857	10	245	294
"HG3928-HT4198_at"	10	578	10	277	410	470	10	10	10	10	124	4212	3148	1505	332	535	342	647	2409	3449	10	10	10	10	10	10	10	10	10	491	2009	3110	702	10	62	10	750	1147	10	990	1359	10
"HG3954-HT4224_s_at"	349	10	10	59	10	10	10	389	10	10	54	10	10	10	10	484	10	206	10	10	60	584	164	10	10	306	10	10	480	1022	10	10	721	1100	10	10	10	10	10	10	10	10
"M13150_s_at"	44	139	57	22	10	73	60	10	112	10	92	458	173	88	10	10	10	10	325	84	10	10	10	10	10	11	10	10	41	10	10	10	147	10	10	10	173	269	84	171	175	10
"HG4757-HT5207_s_at"	86	226	103	44	278	45	10	588	10	10	10	103	182	897	10	10	10	10	271	347	10	47	10	10	10	88	10	48	128	10	352	10	461	10	152	10	326	1185	10	143	437	10
"X54867_s_at"	13	10	10	10	10	10	10	109	48	64	570	10	129	212	10	3827	99	40	184	333	29	10	37	10	37	10	10	10	10	10	10	10	141	118	192	163	10	10	34	86	10	3132
"HG759-HT759_s_at"	32	10	10	10	10	10	10	10	32	10	175	404	10	295	10	10	10	10	189	10	10	10	10	10	10	179	10	10	10	60	103	739	221	10	10	10	375	234	10	109	186	29
"HG880-HT880_at"	10	786	10	10	212	514	127	1740	10	10	236	4359	5554	1966	351	484	108	813	3190	2298	100	10	10	10	10	186	182	10	10	1037	2562	10	788	1658	10	10	4029	1100	292	10	4014	410
"X01038_rna1_s_at"	10	10	10	90	152	228	10	10	10	10	10	10	746	10	10	10	10	10	130	10	10	10	31	10	10	10	10	10	10	10	145	627	118	729	10	10	682	111	133	10	822	195
"J00116_s_at"	276	10	10	10	10	10	502	10	10	10	10	10	10	10	10	10	10	10	271	10	1002	10	10	132	19	10	959	10	327	10	10	10	10	10	10	3513	10	10	10	10	10	451
"V00535_rna2_s_at"	62	18	10	10	10	22	10	237	21	10	10	10	10	10	10	10	10	10	10	37	10	10	10	10	10	26	10	10	10	10	10	570	141	394	10	10	10	10	10	10	10	10
"L00022_s_at"	10	448	434	133	778	1371	10	10	10	2906	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
"M87789_s_at"	292	2282	1283	1582	1972	4349	10	10	10	1987	10	999	10	10	2232	513	402	226	1313	10	614	1774	2788	216	707	10	7536	80	1020	461	582	10	10	10	10	16000	740	10	7683	10	274	562
"V00594_at"	2243	10	1154	10	10	10	570	10	10	10	10	16000	6334	10	16000	5105	16000	16000	12078	16000	2350	1179	10	10293	776	6096	10	4919	2929	10	11426	10	10	10	2557	11430	16000	10	1852	10	10	12702
"J02871_s_at"	123	10	10	10	251	10	10	10	28	10	10	10	86	10	10	10	789	10	10	10	88	69	10	10	10	71	10	69	10	817	48	2291	44	10	58	10	10	613	104	10	10	10
"J02960_cds1_s_at"	70	10	10	252	136	10	10	24	10	10	324	885	385	637	10	10	10	123	520	639	10	97	10	10	24	47	10	10	59	10	370	10	10	10	10	10	355	160	272	89	385	10
"Y00339_s_at"	33	10	10	10	10	96	58	10	55	10	178	267	10	395	560	2425	1989	1414	179	10	323	10	10	232	10	10	229	10113	779	10	151	10	10	10	10	268	1067	495	158	10	233	10
"X51441_at"	71	250	10	38	10	10	10	418	62	42	10	295	10	10	10	10	10	10	86	32	26	274	89	152	30	10	60	113	54	10	10	10	493	10	67	28	1211	277	10	143	52	67
"M26004_s_at"	72	28	73	10	10	10	17	63	23	10	45	10	10	10	10	50	33	10	146	47	10	103	10	89	10	10	74	65	10	75	10	249	118	45	10	26	750	21	118	114	361	10
"M17183_s_at"	29	33	10	10	166	10	10	5072	10	10	10	32	10	10	10	10	78	135	10	23	10	17	10	10	10	81	165	10	44	10	60	10	10	10	10	76	10	171	84	10	10	10
"M24351_cds3_s_at"	40	54	29	15	10	10	10	14320	69	10	10	10	10	10	10	10	204	740	10	10	10	110	94	63	30	91	414	10	52	10	10	586	285	10	147	28	10	713	10	76	10	43
"J03778_s_at"	10	573	314	226	205	570	28	1807	26	163	669	1453	572	1753	10	327	47	10	2908	1508	10	529	10	40	10	10	77	10	10	25	746	10	147	105	232	20	653	92	39	493	764	46
"M24349_s_at"	33	16	38	44	143	10	10	9418	19	10	10	10	10	141	10	10	207	28	10	14	10	10	77	28	10	10	264	21	44	10	10	273	10	118	174	10	10	133	118	89	355	119
"J04152_rna1_s_at"	10	10	12	10	10	10	10	10	16	10	10	27	10	23	10	10	10	10	10	10	10	21	264	10	10	88	66	44	10	10	18	538	16	10	10	64	10	10	10	10	256	72
"M27968_s_at"	10	10	25	10	10	63	10	166	23	77	49	54	10	10	10	10	10	20	390	192	290	565	73	1461	482	10	1235	161	186	10	18	10	10	10	10	10	10	10	10	89	10	10
"J05252_s_at"	383	347	1090	240	25	10	467	375	10	356	1323	1103	10	3961	34	10	74	10	4395	517	10	68	14	62	10	110	10	61	10	250	953	570	1073	791	335	10	10	405	10	17	3903	10
"X00695_s_at"	24	214	46	56	10	76	69	10	35	10	209	289	240	118	10	10	78	10	678	615	10	10	10	37	10	52	10	10	10	10	163	321	173	10	17	258	730	89	39	10	466	373
"K02777_s_at"	271	115	10	10	77	10	1049	10	135	10	10	185	187	10	10	10	236	10	54	418	10	10	10	10	20	220	10	10	13	10	297	10	10	10	322	543	269	106	178	330	869	271
"L03840_s_at"	33	207	261	10	187	22	10	1109	10	10	10	10	10	10	10	112	10	10	10	10	10	406	437	10	10	275	10	17	246	591	400	401	804	91	10	10	10	10	421	325	10	10
"M26665_at"	44	10	10	10	10	10	10	10	10	10	58	10	10	236	10	80	22	32	10	173	10	10	211	10	10	10	1843	10	10	70	91	1133	121	446	10	10	10	29	10	10	10	192
"L05624_s_at"	184	10	338	217	10	10	90	804	10	743	202	10	10	10	1236	433	398	1497	10	10	743	694	10	11757	447	10	545	538	124	10	10	10	913	137	62	357	1115	128	19	10	10	1148
"L05628_s_at"	41	10	108	203	93	54	10	10	117	77	10	10	10	10	91	10	10	10	10	10	10	285	119	10	10	167	10	10	10	10	248	168	10	10	22	10	48	10	10	10	10	10
"U50360_s_at"	225	10	163	120	10	10	10	556	32	10	10	1005	534	206	10	10	204	10	819	10	10	10	81	80	10	10	28	111	34	10	953	10	679	486	10	192	10	10	10	114	10	10
"X13766_s_at"	10	10	10	10	10	10	10	265	10	21	10	10	10	10	10	10	10	10	10	10	17	10	10	10	168	10	4091	10	11	165	10	136	10	10	85	10	10	10	10	10	10	10
"L10955_cds1_s_at"	883	139	322	10	148	10	89	3523	10	10	10	81	158	10	10	160	10	943	10	277	2018	220	10	119	10	31	95	830	1290	10	2106	10	1545	10	10	10	10	416	10	2069	10	10
"U37055_rna1_s_at"	10	377	77	53	10	519	194	861	10	344	10	10	10	10	104	10	65	10	10	10	10	10	10	10	233	10	10	265	61	1604	10	10	429	1097	10	293	10	10	10	10	10	10
"L14848_s_at"	18	10	36	10	383	10	10	10	10	10	10	10	10	10	10	174	10	698	10	10	10	740	709	1042	272	124	106	61	163	10	10	64	10	10	10	10	10	122	10	10	10	10
"L15296_s_at"	10	578	305	42	10	307	27	623	56	10	295	1382	1034	525	485	47	249	10	575	427	43	10	10	10	10	10	164	36	131	40	418	48	10	10	125	157	605	10	203	553	3092	358
"U33838_at"	23	103	10	10	10	10	119	10	53	10	10	486	10	17	10	10	15	10	10	206	10	10	10	26	18	10	10	10	10	10	667	329	48	10	103	95	10	294	213	10	606	10
"L20469_s_at"	10	10	77	10	10	10	10	10	104	10	10	10	481	135	10	10	10	10	10	10	10	10	10	10	10	10	10	132	10	125	10	10	10	10	10	64	10	10	10	10	927	10
"U18383_s_at"	112	10	47	72	10	91	112	418	10	10	10	10	10	10	10	10	10	10	10	10	40	76	89	10	21	10	10	11	43	10	10	10	10	10	53	10	10	10	54	10	10	10
"M62782_s_at"	10	250	10	68	10	10	10	10	10	10	10	10	10	10	10	10	10	242	10	10	10	653	10	10	27	50	2198	10	10	10	10	10	10	10	10	10	10	10	416	10	10	10
"L29306_s_at"	10	47	10	18	10	10	16	10	10	10	10	10	10	94	29	10	10	10	10	10	10	10	70	32	32	10	10	10	10	165	10	72	80	108	62	117	10	10	44	327	2083	253
"L37868_s_at"	10	1182	10	10	10	10	10	10	10	1086	10	10	10	1346	10	218	103	649	10	10	1076	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	317	1375	614	10	10	10
"L44140_cds4_s_at"	10	892	373	10	61	233	10	499	10	10	859	158	1501	1269	10	2341	785	78	1079	1762	101	10	10	852	900	10	46	19	10	481	10	554	2708	1891	10	10	10	1269	10	10	10	10
"U28749_s_at"	10	10	10	93	10	85	45	17	10	22	49	10	10	10	10	10	63	10	10	10	10	3761	10	1823	9036	103	1303	1297	8651	120	10	10	10	10	94	2045	19	95	1728	10	239	195
"L47125_s_at"	135	10	75	51	205	403	174	343	112	10	110	43	413	873	10	10	33	99	558	10	8197	1910	157	255	428	898	164	113	5513	471	388	980	602	118	10	10	10	1035	74	37	10	10
"Z37987_s_at"	33	134	31	73	10	171	57	10	62	10	10	10	10	224	10	10	74	10	727	65	9324	4760	591	150	363	3339	176	240	7970	4938	10	10	102	10	10	10	10	1741	287	12	11	10
"L76528_s_at"	10	10	10	117	10	26	10	202	10	10	10	355	10	10	37	10	157	10	10	18	10	179	10	10	10	383	10	234	33	10	10	10	10	10	174	31	144	106	213	10	116	10
"U48436_s_at"	10	68	27	18	10	26	57	248	64	10	10	109	10	47	10	10	10	10	184	10	45	10	10	54	10	10	69	42	22	10	10	353	10	10	10	10	10	10	10	104	192	10
"L77567_s_at"	82	10	10	10	10	10	10	10	10	10	10	114	10	10	10	251	10	10	10	1569	236	10	103	10	10	10	137	10	800	10	145	10	10	10	10	692	10	10	10	10	10	10
"U64805_s_at"	188	10	44	94	10	117	10	237	10	10	10	10	10	10	10	10	15	10	108	10	10	10	10	126	10	136	37	10	10	10	230	10	10	10	210	225	201	141	10	516	10	329
"V00565_s_at"	10	10	10	10	10	203	10	10	10	10	10	650	539	10	10	10	10	28	656	770	10	10	10	10	10	10	10	10	10	10	862	10	10	10	10	10	10	10	10	10	10	10
"M12963_s_at"	129	10	10	123	10	10	10	63	10	10	10	10	134	82	10	36	85	10	341	10	10	10	125	10	10	81	10	10	10	10	10	10	10	10	10	10	269	10	10	10	10	10
"M60891_s_at"	105	10	10	10	10	10	10	10	10	10	10	10	10	10	267	10	10	10	10	10	484	10	10	620	956	10	10	165	292	10	10	10	10	10	10	10	10	19	10	10	10	10
"M16336_s_at"	10	10	10	10	10	10	10	10	10	10	223	10	10	10	10	892	10	10	558	305	10	10	58	259	15	19	10	10	10	10	10	10	660	472	80	545	10	10	10	10	10	10
