	DLBC1	DLBC2	DLBC3	DLBC4	DLBC5	DLBC6	DLBC7	DLBC8	DLBC9	DLBC10	DLBC11	DLBC12	DLBC13	DLBC14	DLBC15	DLBC16	DLBC17	DLBC18	DLBC19	DLBC20	DLBC21	DLBC22	DLBC23	DLBC24	DLBC25	DLBC26	DLBC27	DLBC28	DLBC29	DLBC30	DLBC31	DLBC32	DLBC33	DLBC34	DLBC35	DLBC36	DLBC37	DLBC38	DLBC39	DLBC40	DLBC41	DLBC42	DLBC43	DLBC44	DLBC45	DLBC46	DLBC47	DLBC48	DLBC49	DLBC50	DLBC51	DLBC52	DLBC53	DLBC54	DLBC55	DLBC56	DLBC57	DLBC58	FSCC17	FSCC3	FSCC14	FSCC11	FSCC8	FSCC16	FSCC15	FSCC5	FSCC10	FSCC12	FSCC4	FSCC13	FSCC7	FSCC18	FSCC6	FSCC19	FSCC2	FSCC9	FSCC1
X52896_s_at	67	10	10	10	10	10	10	10	10	149	10	10	10	463	188	10	194	64	134	261	449	160	10	224	118	121	102	10	185	10	486	399	10	10	10	10	10	10	218	116	120	67	313	10	103	10	111	97	166	10	403	10	83	52	379	23	75	163	175	10	12	10	288	10	10	264	10	180	116	10	222	214	159	10	114	130	426
HG3044-HT3742_s_at	794	186	10	216	86	420	10	74	10	356	10	10	2279	401	113	363	10	288	2165	10	10	7005	213	10	2381	589	10	10	61	10	6630	1030	10	8783	10	266	10	110	10	10	707	1878	496	27	110	452	10	10	3312	1037	6427	161	10	23	6194	19	415	1246	10	10	10	10	63	10	21	10	522	355	274	158	139	101	10	10	10	10	23
X02761_s_at	1958	10623	570	3630	1743	5804	963	852	407	11777	10	343	5662	643	10	716	10	467	3151	233	10	13054	768	10	4983	1833	10	116	112	15	15410	2633	15	12476	10	692	663	1122	10	10	1404	3856	1156	1039	266	1417	10	10	9292	1260	12535	945	10	10	10373	15	1211	2768	10	10	10	10	91	10	85	14	1583	587	400	92	313	186	46	10	10	10	10
M31520_rna1_at	48	10	48	83	151	28	10	69	37	105	38	34	92	10	97	55	10	98	41	41	50	10	289	10	39	104	10	41	153	348	290	96	10	11	203	10	276	156	10	31	92	205	10	59	25	90	10	10	10	76	116	11	149	10	553	327	186	208	89	134	10	10	75	10	10	96	107	10	90	139	75	370	10	59	10	40	58
HG3242-HT4231_s_at	10	214	208	319	335	65	210	35	79	348	379	158	10	10	108	10	10	10	46	10	260	10	10	10	10	556	10	10	10	10	10	10	64	10	10	10	36	84	526	10	10	10	10	191	10	10	10	31	10	154	23	10	10	10	10	10	10	10	10	10	10	10	10	10	42	37	10	137	10	10	10	10	10	127	10	10	135
U05572_s_at	11	1405	1290	1692	88	2073	1203	170	441	1345	10	1404	1701	272	376	10	20	10	10	145	55	1162	11	216	1458	10	10	306	10	323	89	10	1034	2540	633	981	417	1372	404	147	1001	1206	10	1930	110	1089	10	10	1632	571	847	10	147	10	934	10	570	246	10	10	10	10	10	10	21	244	121	295	705	553	10	532	362	10	66	10	10
HG3426-HT3610_s_at	42	142	446	119	213	111	10	267	90	205	230	148	10	163	10	118	10	10	212	10	61	10	131	125	130	202	10	64	144	10	70	195	10	10	10	71	185	244	340	66	10	10	10	158	66	304	172	79	10	121	10	10	52	111	102	41	72	51	150	158	10	10	10	42	244	10	101	10	78	130	161	62	10	10	10	10	167
HG3431-HT3616_s_at	1361	8006	430	1321	185	2339	786	1027	184	8981	10	88	1412	205	355	866	10	884	286	10	252	7179	641	215	1589	2445	10	148	384	41	5815	2078	165	4550	10	663	107	35	258	119	156	2537	677	189	160	1147	68	138	2037	749	2347	389	510	151	6127	859	517	224	113	928	709	10	625	10	590	722	1205	1163	872	399	2230	380	1166	10	10	10	481
HG3638-HT3993_s_at	70	239	10	245	10	39	10	385	10	150	10	10	10	10	244	10	10	10	160	10	417	10	10	207	195	248	10	77	324	10	297	301	10	10	250	71	59	27	282	10	10	10	161	152	10	195	10	10	10	10	226	101	21	294	10	392	87	10	227	196	10	429	236	10	292	215	295	24	10	10	202	377	120	682	10	10	663
U10687_s_at	100	79	185	33	120	14	45	111	64	133	42	133	10	692	10	21	10	45	125	10	146	10	10	248	95	150	86	10	144	10	218	201	40	46	10	654	41	126	116	26	13	10	10	76	118	198	76	10	10	10	27	74	16	195	15	10	12	163	189	162	10	10	25	10	46	106	43	148	10	13	101	10	98	10	10	10	10
HG3925-HT4195_s_at	281	124	473	222	10	128	10	10	266	64	10	194	135	10	363	623	124	296	10	303	10	10	290	167	403	10	91	10	57	10	166	10	10	675	297	348	110	10	346	255	51	159	10	10	337	935	10	215	144	314	10	298	395	10	325	426	404	10	199	10	10	10	10	10	10	342	238	76	517	519	299	338	237	10	388	10	71
HG3928-HT4198_at	10	10	10	140	87	110	104	569	10	119	10	34	10	71	574	10	569	10	10	10	10	10	10	10	10	10	123	10	917	54	10	37	10	10	10	785	10	37	221	10	10	10	10	10	10	10	10	10	10	10	10	10	10	312	10	10	10	10	1472	1002	442	399	157	579	1807	335	10	283	10	409	10	3689	522	2507	552	367	423
HG3954-HT4224_s_at	64	161	255	188	67	79	696	139	11	159	556	294	225	10	10	10	222	10	162	106	10	10	10	10	10	10	10	10	91	10	415	10	482	10	10	42	265	859	84	93	156	10	250	201	10	10	109	62	10	10	124	10	10	10	96	120	266	200	10	10	101	35	10	10	88	10	183	10	10	226	180	57	210	10	10	10	241
HG4120-HT4392_s_at	41	38	212	95	10	133	10	145	10	147	239	10	57	55	10	84	17	10	163	10	10	10	20	190	209	10	10	10	10	10	177	75	10	314	10	55	10	770	10	88	10	165	10	217	10	359	124	60	10	51	133	10	10	67	337	10	13	32	372	10	10	10	10	10	106	13	10	80	72	256	78	146	126	10	10	10	46
HG4755-HT5203_s_at	246	192	1140	658	1973	240	10	796	10	257	690	115	10	364	206	303	10	10	16	10	90	10	145	10	21	10	10	10	574	10	594	130	10	10	10	111	616	1292	168	34	10	10	10	704	10	215	133	27	10	10	10	173	310	84	300	364	86	10	193	370	10	10	10	10	574	112	109	399	84	47	153	191	10	10	10	10	644
HG4757-HT5207_s_at	10	328	10	61	227	230	10	128	10	649	10	24	10	382	337	10	10	10	10	10	10	10	10	43	75	10	10	10	320	10	778	352	10	10	10	197	10	10	10	10	10	10	10	117	10	254	286	10	10	254	10	10	151	10	217	274	10	191	214	10	10	10	10	10	135	10	155	10	72	10	10	10	10	10	10	10	274
L07261_s_at	177	119	200	35	32	10	10	10	10	74	10	10	10	108	92	51	10	10	140	10	167	10	34	26	87	313	10	37	139	10	129	207	10	131	10	12	10	10	142	98	10	10	10	21	44	134	210	194	10	110	10	45	118	212	117	165	10	174	176	177	10	10	10	10	244	57	66	193	133	65	59	10	10	25	10	10	121
HG880-HT880_at	10	521	50	361	10	10	10	34	10	219	842	10	10	643	533	10	10	10	10	10	471	534	10	10	10	181	356	10	10	10	10	108	10	10	1729	10	10	10	957	10	10	17	70	10	10	10	46	10	10	10	10	10	10	151	10	10	10	10	36	10	769	691	10	10	10	10	10	10	10	10	10	10	10	520	10	10	10
X01038_rna1_s_at	10	233	10	111	249	30	79	443	10	329	343	311	302	274	74	10	278	380	10	161	196	386	10	13	343	259	273	282	10	451	10	309	10	186	278	283	10	484	10	10	286	57	183	121	10	10	165	137	97	194	125	196	163	49	92	10	134	135	10	10	19	198	196	10	24	10	40	56	10	81	10	77	237	10	145	47	61
L00022_s_at	10	10	6423	10	994	10	10	10	10	10	10	3553	10	10	10	2981	10	10	10	10	10	10	1080	10	10	10	10	10	622	10	10	10	10	10	10	10	3229	10	10	277	10	10	10	10	44	10	10	10	10	10	10	10	10	10	10	548	10	511	10	74	167	10	1043	10	506	1756	10	1642	5612	10	1252	994	1309	556	3634	3222	712
V00594_at	1954	5835	12333	5885	95	5344	1327	268	10	7387	10	16000	4100	4177	10	244	3486	647	1080	3366	10	14314	10	166	4235	476	999	16	10	2495	4985	8252	10	16000	10	11932	10	758	10	1441	8072	1573	2170	2048	768	2861	10	2449	2199	967	7533	10	9603	10	1757	10	1849	16000	10	10	10	10	10	10	10	10	1128	266	10	10	10	10	10	10	285	10	10
V00574_s_at	94	215	204	257	31	187	642	205	156	198	285	247	691	193	10	198	49	135	10	21	10	233	109	25	163	10	10	83	10	10	108	10	1137	324	10	331	427	254	256	119	76	208	100	296	55	322	10	86	48	92	295	273	192	10	113	34	67	57	36	10	10	10	10	10	10	10	10	37	193	170	112	21	10	10	54	10	10
J02758_s_at	129	43	10	10	10	73	10	10	10	10	44	72	113	62	306	15	10	64	182	17	226	303	10	10	90	186	133	127	22	10	143	103	10	24	203	124	10	10	325	10	30	10	110	10	72	198	10	62	10	20	10	42	116	175	10	168	44	62	71	149	226	135	10	10	147	87	41	111	10	146	13	107	83	10	10	76	85
M22403_s_at	10	160	455	295	45	220	251	335	200	239	533	275	10	10	36	87	10	10	10	62	10	10	10	10	10	10	10	10	16	10	10	36	333	61	10	267	94	377	10	10	10	10	10	241	10	108	10	30	10	140	10	10	17	10	10	10	156	10	24	115	10	10	49	10	10	33	63	10	13	193	47	159	10	10	30	10	10
Z74616_s_at	351	9023	500	2384	269	2604	1919	632	385	10062	118	59	2417	735	10	272	10	247	1026	326	10	4880	552	10	3314	543	10	293	139	53	13314	523	195	10547	10	270	860	424	10	10	391	1439	303	325	18	377	10	10	3079	471	6785	268	10	87	4597	159	304	80	261	10	292	129	10	10	10	82	1128	274	189	136	182	132	107	57	10	10	39
X51441_at	112	3449	198	287	215	118	888	886	78	3949	10	119	32	50	100	62	10	20	84	43	154	334	36	10	135	50	10	14	10	10	441	81	55	440	10	10	192	134	209	24	10	10	10	89	10	83	197	43	101	78	144	96	160	69	47	71	76	63	45	10	219	19	10	176	129	10	184	104	164	95	113	91	121	229	24	10	123
L25878_s_at	66	373	233	144	10	26	110	10	10	582	10	383	94	10	10	10	10	10	10	10	10	47	10	10	135	10	10	10	64	116	25	10	10	275	61	298	68	79	203	10	40	41	10	293	10	26	10	10	22	21	58	10	10	10	178	10	43	131	10	45	184	10	57	10	288	33	13	19	92	172	125	130	53	307	10	10	10
S62696_s_at	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	130	10	10	10	10	10	10	10	10	10	10	10	10	10	10	17	10	10	20	10	10	10	10	10	10	10	10	10	10	276	926	10	10	10	10	10	10	10	10	425	10	22	10	267	182	10	10	10	10	563	126	10	37	214	343	421	430	363	327	10	10	10
J03626_rna1_s_at	240	258	406	236	367	322	241	376	322	313	101	345	10	110	10	321	10	130	17	10	71	10	435	140	131	10	10	64	121	10	637	216	444	240	10	181	354	452	171	10	10	10	10	217	12	580	44	447	60	10	600	601	318	214	215	25	55	154	10	17	10	10	10	10	42	146	112	15	48	130	87	120	10	10	10	10	44
M21119_s_at	5033	199	1152	228	156	1144	10	42	10	252	44	102	5236	78	208	432	1600	8627	221	994	31	15599	3513	661	2246	4747	10	1072	1219	2051	3238	4626	10	16000	10	6678	331	53	49	114	2664	8096	4035	181	7942	5169	10	1577	12	1491	54	46	84	144	5989	172	4860	5441	914	2521	1337	462	162	974	3698	45	301	22	215	492	1173	137	3368	1833	1813	2181	387
J05582_s_at	110	194	10	10	89	295	10	10	10	10	10	138	10	239	146	138	131	117	105	10	13	138	10	138	10	10	43	133	144	10	10	154	10	89	10	191	281	68	93	10	10	38	41	26	61	126	18	10	94	118	10	64	113	196	40	10	36	152	39	10	174	10	123	60	10	10	10	141	10	118	14	14	67	10	23	135	10
X53002_s_at	30	91	67	10	50	10	85	10	10	10	10	10	10	209	10	316	206	61	302	10	167	526	10	10	247	156	14	126	166	91	97	10	119	440	10	195	10	10	10	10	10	14	153	10	106	336	230	10	245	96	225	10	11	226	249	10	10	73	32	10	118	239	10	798	108	77	77	109	150	63	84	10	24	10	157	122	10
K01160_s_at	4748	10029	11371	51	12565	6358	2806	10	764	12898	512	40	8616	27	154	37	10	6849	691	10	47	40	10	25	4992	2146	3728	14	22	10	16000	198	10	10	311	49	625	2805	2441	10	2182	19	5202	10664	7330	75	375	43	10	5256	2786	75	1386	503	10	85	11	29	58	3883	2444	10	613	10	2441	4171	46	4609	39	11	660	49	5227	4958	2855	32	1924
M26901_s_at	49	10	213	10	10	104	10	10	120	10	97	118	10	96	283	10	133	10	326	173	26	286	93	35	10	10	10	10	219	10	10	104	10	302	108	10	10	327	325	69	106	10	10	212	10	290	10	10	10	51	68	114	10	98	10	49	67	402	214	177	10	424	49	10	266	15	78	79	95	10	241	56	95	574	10	215	80
L03840_s_at	151	187	347	10	36	263	10	35	340	143	376	315	479	101	10	379	30	10	10	312	433	10	194	190	396	181	201	364	10	574	10	367	278	115	982	520	10	130	270	222	123	261	161	10	217	323	102	152	321	246	71	306	393	10	229	222	28	272	10	289	10	10	236	540	10	172	10	187	10	192	42	10	239	10	339	19	10
L05624_s_at	372	210	240	10	10	10	10	10	10	10	10	10	727	429	118	833	199	806	844	10	10	353	218	10	10	10	10	10	210	455	454	10	10	831	217	351	86	10	10	10	20	552	25	10	112	505	10	28	73	765	293	392	112	10	1344	10	611	283	438	10	62	10	206	21	10	534	10	1034	623	274	156	569	379	10	113	87	10
M88461_s_at	16	94	150	240	184	134	332	313	385	180	920	287	88	87	10	123	140	91	10	123	10	10	36	10	10	10	103	10	80	82	10	10	895	39	146	148	249	608	10	10	10	10	184	336	48	29	10	10	57	67	10	388	103	10	11	10	10	51	32	257	57	10	179	944	302	134	49	56	161	163	30	13	216	69	185	80	68
L08044_s_at	10	525	10	10	162	148	449	246	320	443	268	419	351	85	10	315	10	10	10	10	10	397	10	196	276	10	435	10	253	228	495	10	341	60	113	312	243	437	10	36	10	198	102	221	25	588	10	10	199	10	10	294	10	10	252	86	269	40	126	149	3782	10	296	974	27	45	10	273	10	261	504	555	608	10	212	10	305
L11701_s_at	11	161	345	160	189	152	18	177	57	144	186	88	10	251	270	74	10	10	293	10	188	10	82	147	131	10	58	34	96	10	132	10	10	112	103	10	127	10	10	70	10	10	10	127	78	174	74	159	10	10	71	65	10	260	158	100	10	59	236	225	10	10	76	10	105	36	84	176	44	313	91	52	10	181	10	85	236
U37055_rna1_s_at	10	343	10	61	10	10	368	223	10	207	10	10	121	10	10	10	79	10	144	31	10	10	10	10	10	10	347	10	10	10	10	10	308	197	85	67	46	144	11	10	10	96	10	10	10	224	10	10	134	10	10	43	10	40	190	83	59	10	357	10	10	10	79	10	10	10	244	58	10	321	109	188	117	10	219	10	217
L14848_s_at	424	103	10	249	78	133	235	109	131	248	629	260	356	156	389	27	72	147	81	35	10	10	41	10	113	175	10	10	10	42	34	10	194	495	500	154	111	144	10	21	89	158	871	46	145	10	145	176	206	176	10	265	200	10	238	10	10	10	10	10	181	10	10	10	10	10	10	147	272	10	10	10	276	10	260	17	10
L20469_s_at	73	115	10	10	74	59	176	10	43	422	297	50	99	66	188	10	252	10	43	10	10	629	33	10	10	10	10	10	36	57	414	188	10	218	10	10	42	28	10	10	15	16	124	18	25	61	10	33	45	176	10	10	10	165	140	15	148	188	173	10	242	10	101	10	24	77	43	41	191	10	10	47	77	10	13	53	10
U24389_s_at	14	185	543	285	13	152	153	113	79	401	95	18	145	59	10	145	213	106	444	57	10	841	18	209	512	338	10	10	10	19	305	10	10	710	108	290	38	122	139	10	286	284	10	234	101	378	10	10	382	343	270	50	40	69	842	10	63	167	202	115	285	10	93	12	177	53	106	154	99	134	68	166	10	10	126	10	10
L22524_s_at	1265	242	10	55	1367	68	10	10	10	287	10	48	284	1847	152	1206	461	155	69	10	82	10	122	10	10	135	78	10	16	10	300	47	1106	124	99	174	64	1724	148	20	56	13	973	10	82	155	81	10	206	169	68	170	10	10	153	1127	28	2513	115	22	870	10	47	10	35	63	78	10	37	25	55	73	19	31	10	10	82
M89470_s_at	10	10	10	117	10	177	79	321	77	660	232	179	10	10	10	10	10	10	156	10	10	286	10	186	86	332	10	78	10	96	10	272	432	10	56	10	10	56	10	10	135	10	10	37	32	224	10	81	10	14	266	348	10	272	10	10	10	143	213	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
L44140_cds4_s_at	417	269	10	464	431	419	529	130	83	221	10	64	255	147	133	28	147	10	151	10	353	289	164	10	10	110	1013	10	663	198	60	101	95	10	548	100	18	123	541	10	10	139	582	10	10	10	10	10	22	98	10	10	10	10	189	10	147	10	10	10	1232	512	10	1442	10	10	197	10	10	10	10	437	540	15	10	10	628
U72882_s_at	238	505	510	414	208	517	97	299	16	592	28	368	33	1058	267	111	225	10	686	10	82	10	239	582	768	89	10	29	10	10	475	250	10	809	189	708	879	286	130	198	10	10	10	237	256	962	340	420	260	149	738	649	655	159	1405	153	140	796	102	92	10	10	12	10	168	483	118	245	305	379	201	430	10	10	10	10	174
M10321_s_at	10	531	83	775	10	578	477	317	10	752	10	239	10	380	15	10	10	10	10	10	10	10	10	10	276	35	10	10	116	10	292	196	10	611	10	726	209	324	311	10	10	10	10	245	10	66	10	10	10	36	352	10	10	123	68	10	269	67	118	10	10	10	10	10	166	10	10	10	10	258	10	179	10	10	10	10	10
M11025_s_at	26	153	181	103	10	10	10	227	10	224	214	88	10	133	146	15	10	25	162	10	69	10	101	10	105	35	10	73	164	10	205	154	10	93	10	54	47	100	40	10	10	10	10	98	89	169	74	33	10	109	131	103	154	116	29	42	10	97	106	112	10	10	10	253	82	30	93	134	65	10	50	10	10	115	10	10	258
X03363_s_at	47	325	141	59	142	38	10	66	34	25	84	10	72	10	244	99	10	122	170	192	10	10	202	155	102	10	10	183	10	10	54	75	10	94	344	69	64	10	10	27	12	10	134	10	209	114	104	108	31	98	10	388	47	105	10	93	79	63	98	10	111	10	110	150	129	10	43	202	10	85	10	149	138	71	47	10	18
X04445_rna1_s_at	10	10	10	10	228	98	212	10	10	10	10	10	371	10	10	427	72	492	10	336	10	51	488	317	10	10	10	10	10	420	590	108	214	10	10	10	82	10	10	190	159	529	272	165	305	1082	10	221	377	10	10	303	422	10	346	162	10	10	28	10	10	10	10	10	10	500	10	10	218	10	419	10	318	10	79	211	10
M17236_at	10	10	10	10	10	10	226	10	10	86	10	10	10	316	146	10	10	10	215	10	47	10	10	10	10	10	10	10	494	10	10	10	10	10	321	10	10	10	145	10	10	10	10	10	10	10	10	10	10	10	10	73	10	10	10	10	10	10	10	138	1000	653	140	2489	10	10	10	10	10	10	10	10	10	646	10	10	472
M17236_s_at	55	121	10	10	572	10	47	10	18	10	61	37	145	10	10	1200	153	327	202	10	10	155	10	10	10	10	10	10	10	235	282	244	254	10	103	125	18	10	10	10	268	187	393	874	183	10	10	10	10	10	10	2581	43	10	683	10	10	10	10	10	435	10	10	10	10	10	10	780	582	478	10	193	82	10	378	275	10
M19309_s_at	38	13958	10	10	10	10	10	10	10	12493	10	29	10	11	10	29	10	10	10	10	10	10	57	10	10	10	10	10	10	10	10	10	10	10	10	10	54	10	10	10	10	10	10	11	10	10	10	10	10	10	48	10	10	10	36	10	10	10	10	10	10	10	10	10	10	25	10	37	10	10	10	10	10	10	10	10	10
M27783_s_at	128	178	10	10	10	215	210	10	49	10	10	235	37	10	10	134	10	127	10	116	284	745	173	58	61	10	10	10	10	106	10	10	122	10	51	10	76	10	66	10	208	10	293	10	10	397	10	10	209	10	10	368	216	10	146	12	137	10	10	10	69	162	27	10	10	267	10	465	303	38	258	322	251	10	392	107	178
M20642_s_at	47	13159	10	10	10	41	10	10	10	15195	10	10	10	43	18	10	10	10	10	10	53	10	23	10	10	29	10	10	10	10	10	1095	10	10	10	10	10	10	98	10	10	10	10	10	10	87	10	10	10	10	23	47	10	44	10	34	10	10	10	153	10	10	10	10	10	16	38	10	10	10	10	10	10	21	10	10	23
M26311_s_at	406	433	2634	214	322	574	425	298	10	549	10	1450	1968	466	164	54	110	352	10	10	95	1028	10	137	1055	10	10	94	50	244	1064	2033	19	2412	10	3238	10	556	10	152	651	604	236	245	389	542	167	529	136	245	565	10	4331	220	10	328	748	4198	10	258	1321	10	10	10	378	172	101	10	10	10	10	10	135	10	202	54	53
Z20656_rna1_s_at	10	5974	10	10	10	10	10	10	10	7644	10	10	10	16	10	10	39	10	10	10	10	10	23	10	10	10	10	10	32	29	57	38	10	63	10	20	10	10	10	10	10	10	37	10	10	10	22	10	10	10	10	10	10	55	10	10	10	10	10	10	10	10	21	10	10	10	10	63	10	39	10	10	10	10	10	10	10
M21665_s_at	10	14773	38	10	10	10	10	10	103	15448	10	10	165	154	10	122	181	10	10	147	10	326	66	40	10	10	164	10	52	136	192	10	10	105	10	118	68	10	10	27	30	174	51	10	10	405	178	113	28	10	42	138	45	10	162	10	41	33	122	46	193	77	164	90	10	126	24	10	272	10	55	101	150	10	21	53	10
M33772_s_at	10	16000	10	10	38	10	27	10	245	16000	10	10	62	10	10	55	31	10	178	30	10	200	105	10	10	10	187	10	10	144	75	1171	10	32	10	10	168	231	10	144	55	50	10	94	21	513	10	10	169	30	10	164	47	10	101	10	11	10	21	10	10	10	10	459	10	10	49	10	182	10	97	10	53	103	13	11	35
M23892_s_at	133	31	306	77	93	10	10	49	10	10	44	59	10	10	283	10	10	50	2646	10	98	10	10	10	10	68	10	10	68	10	37	10	128	10	387	32	84	44	116	152	10	78	48	24	78	121	10	90	31	80	10	10	16	83	42	63	92	87	10	26	10	10	19	98	10	61	80	174	39	10	80	147	22	309	90	10	10
M24122_s_at	149	5230	384	357	509	35	149	222	107	4846	320	10	10	154	283	317	230	200	89	10	175	10	10	220	99	133	308	346	100	171	243	245	274	216	278	304	228	452	10	149	140	39	10	396	190	287	10	68	47	148	150	10	26	86	255	182	194	334	102	108	10	10	65	10	10	223	78	206	10	83	256	10	183	10	10	187	229
U16799_s_at	10	553	65	10	597	10	20	114	158	743	70	225	655	103	10	396	88	10	289	85	10	10	346	10	1885	10	154	10	10	191	692	10	567	180	10	358	83	1036	10	19	31	73	10	182	25	435	10	10	29	122	184	494	155	10	152	10	51	219	10	10	81	10	10	10	10	105	10	10	10	10	10	10	10	10	28	10	10
M27533_s_at	14	115	253	97	10	437	176	162	93	50	262	207	346	10	10	396	10	10	48	67	151	554	67	44	81	10	10	10	11	67	375	10	212	415	184	83	10	384	215	85	249	10	207	136	58	10	10	10	180	347	10	59	102	10	91	10	10	218	10	10	10	10	172	618	10	68	113	186	10	120	10	10	10	235	48	10	10
M31516_s_at	94	199	44	35	146	10	36	50	17	229	10	75	10	18	56	10	10	10	13	10	141	10	37	165	16	10	10	122	162	34	189	185	10	131	10	88	48	10	139	240	50	10	10	37	71	138	94	78	10	25	92	316	134	10	137	164	122	207	56	106	10	10	18	10	46	181	56	137	166	348	88	214	44	10	93	10	301
X97748_s_at	10	131	10	71	10	10	10	10	19	10	10	269	90	10	10	91	54	10	10	10	10	48	10	170	10	10	155	10	231	150	239	213	83	160	10	90	10	10	10	82	98	127	226	10	11	10	10	10	90	91	10	23	10	181	17	10	10	163	165	74	10	10	164	1957	74	10	10	116	10	69	10	10	10	10	28	10	10
M32879_at	10	10	10	10	179	267	10	10	585	10	10	132	213	10	10	324	144	516	10	319	10	108	10	10	10	10	583	10	228	713	10	10	485	36	10	361	214	10	10	10	10	165	198	410	274	513	10	116	10	391	10	651	10	10	10	10	121	10	10	10	165	10	280	10	10	561	10	356	20	10	10	10	703	10	188	10	10
M58286_s_at	10	547	491	317	10	184	10	10	10	1206	10	411	22	159	10	10	10	10	10	10	10	114	10	13	149	192	10	10	52	10	10	10	10	725	10	717	278	105	10	10	10	10	10	379	10	244	10	10	181	105	10	10	10	47	395	10	233	144	10	10	10	10	10	10	10	10	10	174	10	10	10	405	173	10	324	10	10
M36542_s_at	179	413	1372	128	122	649	2668	537	315	499	663	607	1826	10	224	697	1355	502	1470	181	361	1214	10	1175	1549	336	175	10	10	59	1043	506	1990	1721	533	10	48	1705	672	134	1185	808	278	1557	1143	1138	641	952	10	153	793	1394	41	260	199	12	47	1446	10	10	10	10	187	7134	10	10	10	395	1745	318	482	10	399	10	596	10	10
M36653_s_at	311	10	10	10	10	10	10	10	10	10	10	10	360	10	10	138	10	10	10	175	10	10	10	10	10	10	138	10	157	311	613	255	10	10	160	10	10	10	564	14	571	429	125	36	10	10	20	10	10	10	10	343	72	257	10	379	10	10	12	253	265	333	97	2107	10	10	10	381	10	347	10	58	292	10	10	229	10
Z38133_s_at	10	612	10	10	31	23	10	177	82	567	224	46	45	147	244	12	10	112	51	43	149	182	105	62	65	85	61	49	112	10	24	50	18	10	56	96	24	10	500	10	66	10	66	10	10	10	197	10	13	10	27	99	10	58	10	37	56	16	204	34	294	377	53	90	100	26	70	163	25	10	34	10	67	245	29	13	198
M57731_s_at	69	136	190	388	10	50	58	263	10	10	24	387	10	154	10	10	10	10	10	21	103	10	64	10	10	10	85	10	224	10	221	10	10	69	85	282	10	26	288	81	167	10	63	42	76	655	10	10	10	10	10	10	266	52	68	161	217	511	10	241	130	16	38	309	263	24	10	30	94	116	290	10	122	10	131	43	10
M72885_rna1_s_at	1037	2552	361	99	10	1116	434	155	10	2932	10	403	2049	10	77	188	107	217	12	303	10	6660	45	10	637	104	10	22	10	10	493	652	85	1480	10	543	10	56	10	10	10	135	736	27	176	439	10	10	248	121	133	10	10	10	41	135	289	17	10	89	10	10	10	399	440	49	16	205	118	103	2800	258	368	10	255	19	10
X74929_s_at	148	167	105	10	10	10	24	10	10	10	40	123	92	442	414	447	379	75	10	252	74	10	162	186	10	10	10	10	173	253	192	10	10	10	10	10	223	69	10	68	57	142	489	10	35	10	31	10	10	114	10	150	50	10	210	18	122	10	10	10	209	10	243	10	309	297	10	399	10	232	10	168	243	10	10	10	10
M77348_rna1_s_at	292	674	10	132	249	403	162	10	10	82	293	170	251	521	316	10	68	54	10	447	74	99	10	10	10	10	158	10	482	10	28	137	180	10	1067	129	112	10	218	10	10	42	233	96	10	10	10	10	10	250	10	10	10	10	10	305	63	10	102	10	214	10	354	227	10	10	10	159	10	46	10	10	77	10	10	10	358
M83652_s_at	10	98	571	458	10	10	226	32	175	10	189	240	10	48	10	10	125	52	10	10	10	40	10	22	10	10	10	10	10	10	10	10	10	69	10	173	107	263	10	10	105	19	10	398	10	192	145	178	10	10	10	10	199	10	10	10	76	10	10	10	48	10	10	270	10	61	10	10	182	10	43	388	63	10	16	29	10
X62515_s_at	202	10	48	41	10	10	10	10	10	95	10	10	10	306	25	52	10	10	491	10	215	10	10	10	10	211	91	37	258	10	207	51	10	191	203	10	159	10	78	92	57	65	13	10	10	169	217	10	10	47	380	69	10	35	102	251	141	10	374	259	10	10	43	10	283	10	126	120	194	255	206	208	10	159	10	10	351
U33202_s_at	10	70	29	204	10	10	85	134	485	26	76	516	10	10	92	188	10	87	132	19	10	17	21	26	10	125	10	10	18	10	21	114	10	88	226	78	229	10	189	58	102	107	61	64	29	467	39	30	10	77	10	36	33	10	69	10	44	10	10	114	10	212	35	10	10	90	123	29	147	10	10	76	39	10	10	66	10
X68985_s_at	350	159	242	10	275	202	11	149	10	229	36	68	10	484	309	108	10	10	391	10	316	10	76	109	265	188	10	47	169	10	427	240	10	105	94	72	100	243	686	12	10	10	10	100	10	10	282	84	10	229	198	10	91	354	90	213	106	89	199	394	10	10	10	10	226	163	10	74	75	264	10	10	10	10	10	10	227
U15641_s_at	103	10	10	10	10	10	10	10	10	10	10	10	10	10	10	734	258	41	377	10	10	256	224	10	10	10	10	10	503	10	10	10	10	468	10	145	10	10	10	148	56	127	160	10	10	657	10	47	10	10	10	10	137	221	344	10	10	189	10	10	10	10	39	1129	10	10	10	267	223	120	10	10	176	10	354	74	10
U33052_s_at	117	66	403	491	831	184	10	464	66	10	847	103	10	108	97	66	10	10	78	10	45	10	34	10	10	66	10	10	148	10	337	204	89	87	10	181	594	625	139	34	10	10	10	612	10	10	40	105	10	10	10	65	79	95	338	54	178	132	64	34	10	10	10	10	237	138	58	149	231	89	97	10	35	127	535	10	35
